Rk,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtgSOS,ORtgSOS,DRtgSOS,NetRtgNCSOS,Wins,Losses,Team Name,Seed
106,WAC,25-8,5.99,107.9,101.9,65.8,0.091,-1.95,107.1,109.1,-3.32,25,8,Cal Baptist,13
113,Sum,27-7,5.13,111.7,106.6,66.3,0.04,-5.83,106.5,112.3,-0.97,27,7,North Dakota St.,14
140,Horz,23-11,2.04,112.1,110.0,67.2,0.009,-4.03,109.4,113.4,0.85,23,11,Wright St.,14
150,Ivy,18-11,1.47,107.4,105.9,69.0,0.068,-0.69,109.2,109.9,0.51,18,11,Penn,14
163,CUSA,21-13,0.57,110.6,110.1,71.2,0.009,-2.23,108.0,110.2,-5.17,21,13,Kennesaw St.,14
145,BSky,21-14,1.53,108.8,107.3,67.7,-0.012,-1.67,109.4,111.1,0.74,21,14,Idaho,15
181,ASun,21-13,-1.44,115.8,117.2,69.6,0.067,-5.66,108.3,114.0,5.71,21,13,Queens,15
187,OVC,23-9,-1.83,109.1,110.9,70.2,0.07,-8.26,103.2,111.5,5.4,23,9,Tennessee St.,15
191,SC,22-12,-1.98,107.5,109.4,65.9,0.01,-6.29,108.1,114.4,-0.7,22,12,Furman,15
284,PL,18-16,-10.37,102.7,113.1,66.9,0.081,-8.61,104.9,113.5,-0.54,18,16,Lehigh,16
185,AE,24-8,-1.67,108.2,109.9,66.2,0.046,-14.87,100.5,115.4,-6.98,24,8,UMBC,16
192,MAAC,23-11,-2.1,107.1,109.2,64.6,0.005,-9.48,102.9,112.4,-7.72,23,11,Siena,16
207,MEAC,23-10,-3.19,103.1,106.3,69.0,-0.01,-14.6,100.5,115.1,-1.69,23,10,Howard,16
216,NEC,24-10,-3.95,105.6,109.6,67.8,0.104,-9.97,103.6,113.5,2.14,24,10,LIU,16
288,SWAC,18-17,-10.69,101.2,111.9,70.9,0.013,-9.59,103.4,113.0,8.98,18,17,Prairie View A&M,16
